mgmBldrgstPk,PNU,지번주소,도로명주소,층구분,층번호,층번호명,층면적_㎡,용도코드,용도,상세용도,용도군,구조
10241100278839,1168010800102690001,서울특별시 강남구 논현동 269-1번지,서울특별시 강남구 봉은사로49길 26 (논현동),지하,2,지2층,6.18,03999,기타제1종근린생활시설,A.V실,근린생활1,철근콘크리트구조
10241100278839,1168010800102690001,서울특별시 강남구 논현동 269-1번지,서울특별시 강남구 봉은사로49길 26 (논현동),지하,2,지2층,17.34,03999,기타제1종근린생활시설,계단실,근린생활1,철근콘크리트구조
10241100278839,1168010800102690001,서울특별시 강남구 논현동 269-1번지,서울특별시 강남구 봉은사로49길 26 (논현동),지하,1,지1층,32.71,03024,지역아동센터,계단실,근린생활1,철근콘크리트구조
10241100281923,1168010400100130039,서울특별시 강남구 청담동 13-39번지,서울특별시 강남구 도산대로72길 37 (청담동),지하,1,지1층,165.15,04008,사진관,제2종근린생활시설(사진관),근린생활2,철근콘크리트구조
10241100281923,1168010400100130039,서울특별시 강남구 청담동 13-39번지,서울특별시 강남구 도산대로72길 37 (청담동),지하,2,지2층,160.95,04008,사진관,제2종근린생활시설(사진관),근린생활2,철근콘크리트구조
102416955,1168011500107430000,서울특별시 강남구 수서동 743번지,서울특별시 강남구 광평로31길 52 (수서동),지상,1,1층,31.57,04499,기타사무소,사무실,근린생활2,벽돌구조
102416955,1168011500107430000,서울특별시 강남구 수서동 743번지,서울특별시 강남구 광평로31길 52 (수서동),지상,2,2층,27.95,04499,기타사무소,사무실,근린생활2,블록구조
10241100278583,1168010100107740011,서울특별시 강남구 역삼동 774-11번지,서울특별시 강남구 언주로71길 25-8 (역삼동),지상,1,1층,77.42,04402,사무소,제2종근린생활시설(사무소),근린생활2,철근콘크리트구조
10241100278983,1168010100106900043,서울특별시 강남구 역삼동 690-43번지,서울특별시 강남구 봉은사로48길 44-10 (역삼동),지하,2,지2층,228.24,04402,사무소,제2종근린생활시설(사무소),근린생활2,철근콘크리트구조
1000000000000000122280,1168010800102070000,서울특별시 강남구 논현동 207번지,서울특별시 강남구 학동로 204 (논현동),지상,4,4층,385.328,14202,오피스텔,업무시설(오피스텔),업무시설,철근콘크리트구조
1000000000000000122280,1168010800102070000,서울특별시 강남구 논현동 207번지,서울특별시 강남구 학동로 204 (논현동),지상,7,7층,385.328,14202,오피스텔,업무시설(오피스텔),업무시설,철근콘크리트구조
1000000000000000122280,1168010800102070000,서울특별시 강남구 논현동 207번지,서울특별시 강남구 학동로 204 (논현동),지상,5,5층,385.328,14202,오피스텔,업무시설(오피스텔),업무시설,철근콘크리트구조
1000000000000000122280,1168010800102070000,서울특별시 강남구 논현동 207번지,서울특별시 강남구 학동로 204 (논현동),지상,6,6층,385.328,14202,오피스텔,업무시설(오피스텔),업무시설,철근콘크리트구조
1000000000000000122280,1168010800102070000,서울특별시 강남구 논현동 207번지,서울특별시 강남구 학동로 204 (논현동),지상,8,8층,385.328,14202,오피스텔,업무시설(오피스텔),업무시설,철근콘크리트구조
