mgmBldrgstPk,PNU,지번주소,도로명주소,층구분,층번호,층번호명,층면적_㎡,용도코드,용도,상세용도,용도군,구조
102518649,1171010400100950037,서울특별시 송파구 송파동 95-37번지,서울특별시 송파구 가락로 133 (송파동),지상,3,3,0.0,04999,기타제2종근린생활시설,화장실,근린생활2,철근콘크리트구조
102518649,1171010400100950037,서울특별시 송파구 송파동 95-37번지,서울특별시 송파구 가락로 133 (송파동),지상,4,4,32.95,04999,기타제2종근린생활시설,계단실,근린생활2,철근콘크리트구조
102518649,1171010400100950037,서울특별시 송파구 송파동 95-37번지,서울특별시 송파구 가락로 133 (송파동),지상,4,4,0.0,04999,기타제2종근린생활시설,화장실,근린생활2,철근콘크리트구조
102518649,1171010400100950037,서울특별시 송파구 송파동 95-37번지,서울특별시 송파구 가락로 133 (송파동),지상,3,3,32.95,04999,기타제2종근린생활시설,계단실,근린생활2,철근콘크리트구조
102518649,1171010400100950037,서울특별시 송파구 송파동 95-37번지,서울특별시 송파구 가락로 133 (송파동),지상,2,2,151.75,04010,학원,제2종근린생활시설(학원),근린생활2,철근콘크리트구조
1025119196,1171010400100950039,서울특별시 송파구 송파동 95-39번지,서울특별시 송파구 가락로 137 (송파동),지하,1,지1,125.75,03999,기타제1종근린생활시설,근린생활시설,근린생활1,철근콘크리트구조
1025119196,1171010400100950039,서울특별시 송파구 송파동 95-39번지,서울특별시 송파구 가락로 137 (송파동),지상,1,1,104.63,03999,기타제1종근린생활시설,근린생활시설,근린생활1,철근콘크리트구조
1025119196,1171010400100950039,서울특별시 송파구 송파동 95-39번지,서울특별시 송파구 가락로 137 (송파동),지상,1,1,17.16,04402,사무소,제2종근린생활시설(사무소),근린생활2,철근콘크리트구조
1025119196,1171010400100950039,서울특별시 송파구 송파동 95-39번지,서울특별시 송파구 가락로 137 (송파동),지상,2,2,104.63,03999,기타제1종근린생활시설,근린생활시설,근린생활1,철근콘크리트구조
1025119196,1171010400100950039,서울특별시 송파구 송파동 95-39번지,서울특별시 송파구 가락로 137 (송파동),지상,3,3,91.56,04010,학원,제2종근린생활시설(학원),근린생활2,벽돌구조
1025124688,1171010400100950040,서울특별시 송파구 송파동 95-40번지,서울특별시 송파구 가락로 139 (송파동),지하,1,지1,135.59,03002,휴게음식점,다방,근린생활1,철근콘크리트구조
1025124688,1171010400100950040,서울특별시 송파구 송파동 95-40번지,서울특별시 송파구 가락로 139 (송파동),지상,1,1,104.3,03001,소매점,근린생활시설(소매점),근린생활1,철근콘크리트구조
1025124688,1171010400100950040,서울특별시 송파구 송파동 95-40번지,서울특별시 송파구 가락로 139 (송파동),지상,3,3,104.3,03001,소매점,근린생활시설(소매점),근린생활1,철근콘크리트구조
1025124688,1171010400100950040,서울특별시 송파구 송파동 95-40번지,서울특별시 송파구 가락로 139 (송파동),지상,2,2,104.3,04402,사무소,제2종근린생활시설(사무소),근린생활2,철근콘크리트구조
1025112788,1171010400100950042,서울특별시 송파구 송파동 95-42번지,서울특별시 송파구 가락로19길 5 (송파동),지하,1,지1,102.04,03999,기타제1종근린생활시설,근린생활시설,근린생활1,철근콘크리트구조
1025112788,1171010400100950042,서울특별시 송파구 송파동 95-42번지,서울특별시 송파구 가락로19길 5 (송파동),지상,1,1,82.28,03999,기타제1종근린생활시설,근린생활시설,근린생활1,철근콘크리트구조
10251100447306,1171010400100950043,서울특별시 송파구 송파동 95-43번지,서울특별시 송파구 가락로17길 4-12 (송파동),지상,2,2층,88.37,04402,사무소,제2종근린생활시설(사무소),근린생활2,철근콘크리트구조
10251100447306,1171010400100950043,서울특별시 송파구 송파동 95-43번지,서울특별시 송파구 가락로17길 4-12 (송파동),지상,1,1층,17.03,04402,사무소,(계단실),근린생활2,철근콘크리트구조
10251100447306,1171010400100950043,서울특별시 송파구 송파동 95-43번지,서울특별시 송파구 가락로17길 4-12 (송파동),지상,3,3층,88.37,04402,사무소,제2종근린생활시설(사무소),근린생활2,철근콘크리트구조
10251100473145,1171010400100950044,서울특별시 송파구 송파동 95-44번지,서울특별시 송파구 가락로17길 4-10 (송파동),지상,1,1층,19.84,04402,사무소,제2종근린생활시설(사무소),근린생활2,일반철골구조
10251100461958,1171010400100950046,서울특별시 송파구 송파동 95-46번지,서울특별시 송파구 가락로21길 11 (송파동),지하,1,지1층,37.12,04402,사무소,제2종근린생활시설(사무소),근린생활2,철근콘크리트구조
