TRDAR_CD,TRDAR_CD_N,SIGNGU_NM,ADSTRD_NM,R_ONE_상권,상가유형,기준_년분기_코드,임대료_천원㎡,임대가격지수,공실률,매칭상권_임대료표본수,매칭상권_공실률표본수,임대료_표본부족,공실률_표본부족,임대료_분위_매칭상권내,공실률_분위_매칭상권내,mapping_method,mapping_confidence,join_eligible,grain_is_proxy
3120143,당산역,영등포구,당산2동,당산역,집합상가,20242,,100.0,,0,0,True,True,,,exact_name,high,True,True
3120145,영등포역(영등포),영등포구,영등포동,영등포역,집합상가,20242,,100.0,,0,0,True,True,,,explicit_alias,high,True,True
3120149,여의도역(여의도),영등포구,여의동,여의도,집합상가,20242,,100.0,,0,0,True,True,,,explicit_alias,high,True,True
3120157,신림역(신림),관악구,신림동,신림역,집합상가,20242,,100.0,,0,0,True,True,,,explicit_alias,high,True,True
3120159,서울대입구역,관악구,청룡동,서울대입구역,집합상가,20242,,100.0,,0,0,True,True,,,exact_name,high,True,True
3120160,사당역(사당),서초구,방배2동,사당,집합상가,20242,,100.0,,0,0,True,True,,,explicit_alias,high,True,True
3120173,교대역(법원.검찰청),서초구,서초1동,교대역,집합상가,20242,,100.0,,0,0,True,True,,,explicit_alias,high,True,True
3120175,남부터미널역,서초구,서초1동,남부터미널,집합상가,20242,,100.0,,0,0,True,True,,,explicit_alias,high,True,True
3120178,신사역,서초구,잠원동,신사역,집합상가,20242,,100.0,,0,0,True,True,,,exact_name,high,True,True
3120185,논현역,강남구,논현1동,논현역,집합상가,20242,,100.0,,0,0,True,True,,,exact_name,high,True,True
3120208,청담사거리(청담동명품거리),강남구,청담동,청담,집합상가,20242,,100.0,,0,0,True,True,,,explicit_alias,high,True,True
3120212,한티역,강남구,대치4동,한티역,집합상가,20242,,100.0,,0,0,True,True,,,exact_name,high,True,True
3120225,잠실새내역(신천),송파구,잠실본동,잠실새내역,집합상가,20242,,100.0,,0,0,True,True,,,explicit_alias,high,True,True
3120231,가락시장,송파구,가락1동,가락시장,집합상가,20242,,100.0,,0,0,True,True,,,exact_name,high,True,True
3120243,천호역,강동구,천호2동,천호,집합상가,20242,,100.0,,0,0,True,True,,,explicit_alias,high,True,True
3120248,명일역,강동구,명일1동,명일역,집합상가,20242,,100.0,,0,0,True,True,,,exact_name,high,True,True
3130024,남대문시장(자유상가),중구,회현동,남대문,집합상가,20242,,100.0,,0,0,True,True,,,explicit_alias,high,True,True
3130035,방산종합시장(방산시장),중구,을지로동,방산시장,집합상가,20242,,100.0,,0,0,True,True,,,explicit_alias,high,True,True
3120012,대학로(혜화역),종로구,혜화동,혜화동,집합상가,20243,,101.8,7.12545676004872,0,29,True,False,,55.2,explicit_alias,high,True,True
3120053,건대입구역(건대),광진구,화양동,건대입구,집합상가,20243,,99.93,9.00449606626177,0,29,True,False,,69.0,explicit_alias,high,True,True
